[Data]
Tagname,TimeStamp,Value,DataQuality
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO23,30:46.888,321.6,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.TEMP3,30:46.910,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.NOX3,30:46.932,26583.33,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.DUST3,30:46.954,31702.7,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.O23,30:46.976,31820000,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW3,30:46.998,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO3,30:47.019,2576.8,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO24,30:47.041,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW4,30:47.062,31.67,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO45,30:47.084,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO66,30:47.106,28657.66,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW5,30:47.128,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO87,30:47.149,0.32,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO108,30:47.171,2543.2,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.FLOW6,30:47.193,0,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO129,30:47.215,0.32,Good
TB_NDMT_KHILO1--TB_NDMT_KHILO33.SO150,30:47.237,2539.2,Good
